保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-2.52e-08,1.051088909775899e-05
-2.4999999997329714e-08,4.068641032972664e-07
-2.4799999994659428e-08,-1.1313804890278334e-05
-2.459999999198914e-08,-3.2305848947089544e-06
-2.4399999989318855e-08,-4.0145789625967154e-07
-2.419999998664857e-08,-8.88883889160752e-06
-2.3999999983978282e-08,-9.697160891164458e-06
-2.3799999981307996e-08,-2.060950788518312e-05
-2.359999997863771e-08,-8.484677891829051e-06
-2.3399999975967423e-08,-1.4142931888727617e-05
-2.3199999973297137e-08,-2.3034473883853934e-05
-2.299999997062685e-08,-2.2630312884075465e-05
-2.2799999967956564e-08,-9.697160891164458e-06
-2.2599999965286278e-08,-1.69720588871769e-05
-2.239999996261599e-08,2.4276691021896113e-06
-2.2199999959945705e-08,1.859410909332837e-05
-2.199999995727542e-08,3.51647100842456e-05
-2.1799999954605132e-08,4.8906184076713544e-05
-2.1599999951934846e-08,5.294779407449823e-05
-2.139999994926456e-08,3.839799808247335e-05
-2.1199999946594273e-08,6.426430206829536e-05
-2.0999999943923986e-08,5.2543633074719764e-05
-2.07999999412537e-08,6.38601410685169e-05
-2.0599999938583414e-08,5.6181082072725985e-05
-2.0399999935913127e-08,4.122712508092263e-05
-2.019999993324284e-08,3.112310008646091e-05
-1.9999999930572554e-08,3.3143905085353254e-05
-1.9799999927902268e-08,2.1019075091999184e-05
-1.9599999925231982e-08,3.152726108623938e-05
-1.9399999922561695e-08,2.0210753092442246e-05
-1.919999991989141e-08,2.8318301019680803e-06
-1.8999999917221123e-08,1.6977465094214494e-05
-1.8799999914550836e-08,4.448474101081956e-06
-1.859999991188055e-08,-1.737621988695537e-05
-1.8399999909210263e-08,-3.4755142877429535e-05
-1.8199999906539977e-08,-2.909688888053097e-05
-1.799999990386969e-08,-3.637178687654341e-05
-1.7799999901199404e-08,-4.930493886945442e-05
-1.7599999898529118e-08,-6.102560786303002e-05
-1.739999989585883e-08,-5.698399786524533e-05
-1.7199999893188545e-08,-6.38547348614793e-05
-1.699999989051826e-08,-5.4154870866796045e-05
-1.6799999887847972e-08,-8.20419798515104e-05
-1.6599999885177686e-08,-6.26422518621439e-05
-1.63999998825074e-08,-7.274627685660562e-05
-1.6199999879837113e-08,-5.577151486590992e-05
-1.5999999877166827e-08,-4.364668487255585e-05
-1.579999987449654e-08,-5.4559031866574514e-05
-1.5599999871826254e-08,-3.920091387499269e-05
-1.5399999869155967e-08,-3.152185487920178e-05
-1.519999986648568e-08,-1.9801185885626182e-05
-1.4999999863815395e-08,-2.9905210880087907e-05
-1.4799999861145108e-08,-1.0909643890499865e-05
-1.4599999858474822e-08,-9.697160891164458e-06
-1.4399999855804535e-08,-2.5863600882303217e-05
-1.4199999853134249e-08,-2.86927278807525e-05
-1.3999999850463963e-08,-3.5159303877208004e-05
-1.3799999847793676e-08,-4.162587987366351e-05
-1.359999984512339e-08,-5.698399786524533e-05
-1.3399999842453104e-08,-6.627970086015011e-05
-1.3199999839782817e-08,-7.072547185771327e-05
-1.299999983711253e-08,-9.90167418422061e-05
-1.2799999834442244e-08,-0.00010265419084021232
-1.2599999831771958e-08,-0.00011639566483268027
-1.2399999829101672e-08,-0.00011922479183112955
-1.2199999826431385e-08,-0.00013498707082248984
-1.1999999823761099e-08,-0.0001471119008158439
-1.1799999821090812e-08,-0.00014509109581695157
-1.1599999818420526e-08,-0.00012932881682559128
-1.139999981575024e-08,-0.0001236705628286927
-1.1199999813079953e-08,-0.00011962895283090802
-1.0999999810409667e-08,-0.00011558734283312333
-1.079999980773938e-08,-0.00012164975782980036
-1.0599999805069094e-08,-0.00011275821583467405
-1.0399999802398808e-08,-0.00010022922484154151
-1.0199999799728521e-08,-9.699593684331376e-05
-9.999999797058235e-09,-9.78042588428707e-05
-9.799999794387948e-09,-8.446694585018122e-05
-9.599999791717662e-09,-8.567942884951663e-05
-9.399999789047376e-09,-7.759620885394725e-05
-9.19999978637709e-09,-8.325446285084581e-05
-8.999999783706803e-09,-7.759620885394725e-05
-8.799999781036517e-09,-6.547137886059318e-05
-8.59999977836623e-09,-6.304641286192236e-05
-8.399999775695944e-09,-5.617567586568839e-05
-8.199999773025657e-09,-5.4963192866352983e-05
-7.999999770355371e-09,-4.890077786967595e-05
-7.799999767685085e-09,-5.132574386834676e-05
-7.599999765014798e-09,-5.4963192866352983e-05
-7.399999762344512e-09,-6.062144686325155e-05
-7.199999759674225e-09,-4.809245587011901e-05
-6.999999757003939e-09,-6.506721786081471e-05
-6.799999754333653e-09,-5.334654886723911e-05
-6.599999751663366e-09,-6.547137886059318e-05
-6.39999974899308e-09,-7.759620885394725e-05
-6.1999997463227934e-09,-7.43629208557195e-05
-5.999999743652507e-09,-6.587553986037165e-05
-5.799999740982221e-09,-7.961701385283959e-05
-5.599999738311934e-09,-6.991714985815634e-05
-5.399999735641648e-09,-6.142976886280849e-05
-5.1999997329713615e-09,-4.768829487034054e-05
-4.999999730301075e-09,-4.2434201873220445e-05
-4.799999727630789e-09,-4.162587987366351e-05
-4.599999724960502e-09,-2.5459439882524748e-05
-4.399999722290216e-09,-1.5355414888063024e-05
-4.1999997196199295e-09,-8.484677891829051e-06
-3.999999716949643e-09,8.085923099088177e-06
-3.799999714279357e-09,4.852635100860425e-06
-3.5999997116090703e-09,2.0210753092442246e-05
-3.399999708938784e-09,-3.2305848947089544e-06
-3.1999997062684975e-09,1.6573304094436025e-05
-2.999999703598211e-09,-3.6347458944874234e-06
-2.7999997009279248e-09,4.068641032972664e-07
-2.5999996982576384e-09,4.852635100860425e-06
-2.399999695587352e-09,2.0235081024111423e-06
-2.1999996929170656e-09,-1.293044888939221e-05
-1.999999690246779e-09,-2.0181018953735474e-06
-1.7999996875764928e-09,-2.0181018953735474e-06
-1.5999996849062064e-09,-6.059711893158237e-06
-1.39999968223592e-09,-4.84722889382283e-06
-1.1999996795656336e-09,-2.4222628951520164e-06
-9.999996768953472e-10,1.2127533096872867e-05
-7.999996742250608e-10,1.859410909332837e-05
-5.999996715547744e-10,2.7485651088454688e-05
-3.9999966888448805e-10,1.6977465094214494e-05
-1.9999966621420166e-10,2.1019075091999184e-05
3.3645608473285843e-16,1.899827009310684e-05
2.0000033912637112e-10,1.536082109510062e-05
4.000003417966575e-10,1.7785787093771432e-05
6.000003444669439e-10,1.899827009310684e-05
8.000003471372303e-10,1.1723372097094398e-05
